participant,date,expName,psychopyVersion,OS,frameRate,ins1_key.keys,ins1_key.rt,ins1_key.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fish_key_2.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3,ExpStart_key.keys,ExpStart_key.rt,ExpStart_key.duration,block number,block assignment,fish_key_button.keys,fish_key_button.rt,fish_key_button.duration,fish_key.corr,fish_interval,key_resp_time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fish1,fish2,fish3,fish4,fish5,pond,pond2,pond3
,2023-10-02_19h31.18.207,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,7,,,,,,,,,,,,,,right,0.5107,,1,0.5,374.0494,0,6,6,6,1,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,2,3,right
,2023-10-02_19h31.18.207,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,8,,,,,,,,,,,,,,right,0.2201,,1,0.5,375.2978,0,7,7,7,1,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,2,3,right
,2023-10-02_19h31.18.207,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,9,,,,,,,,,,,,,,right,0.6875,,1,1.5,378.0155,0,8,8,8,1,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,2,3,right
,2023-10-02_19h31.18.207,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,10,,,,,,,,,,,,,,right,0.415,,1,0.5,379.4643,0,9,9,9,1,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,2,3,right
,2023-10-02_19h31.18.207,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,1.5,379.4643,0,10,10,10,1,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,2,3,right
,2023-10-02_19h31.18.207,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,12,,,,,,,,,,,,,,right,0.2991,,1,1.5,386.9933,0,11,11,11,1,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,2,3,right
,2023-10-02_19h31.18.207,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,13,,,,,,,,,,,,,,right,0.5797,,0,1,389.1072,0,12,12,12,1,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,0,1,left
,2023-10-02_19h31.18.207,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,14,,,,,,,,,,,,,,right,1.8998,,0,1.5,393.037,0,13,13,13,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,0,1,left
,2023-10-02_19h31.18.207,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,15,,,,,,,,,,,,,,right,0.6154,,0,1.5,395.6837,0,14,14,14,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,0,1,left
,2023-10-02_19h31.18.207,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,1,,,,,,,,,,,,6,1condition/mainTrials4.xlsx,right,0.6517,,1,0.5,402.3665,0,0,0,0,1,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right
